hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
SBDSP1,63.13,13,33.5325,212.7
MCRIP1,15.615,1.8,4.3,371
HNRNPA1P35,0.157,0.1,0.1155,0.5755
IGHV3-72,78,0.035,0.145,0.055
,0.9985,51,68.5,0.0395
FGD5-AS1,283,570,191.5,162
NPM1P18,0.205,0.38,0.055,0.38
RPS29P3,0.1685,0.35,0.13,0.09
MIAT,363,527,907,696
ERCC6,26.145,7.1,523.5,268.5
RUSC1-AS1,4.5,3.3,8.5,1.25
,0.245,0.17,0.06,0.425
,27.0325,0.19,0.097,0.0765
,0.25,0.34,0.475,0.18
TSBP1-AS1,0.083,0.053,0.033,0.8395
NOL7,320,1067,1289,1286
,24,0.49,32.45,83
MTND1P23,27.1,87,13.7,42
PIGBOS1,325,227,0.016,563
CCT8P1,0.665,0.49,0.275,0.675
TLK2P1,6.5,2.7,1.15,0.2
LINC00623,181,0.14,324.517,7.55
,69,110,123.5,80
UQCRFS1P1,38,78,3.73,25.0295
,0.326,7.1,1.316,0.664
WASH8P,10.715,1.2,0.65,70.5
RPL26P19,27.5,43,29.5,18.05
RPL37AP1,0.44,0.63,0.43,0.265
GTF2H2B,0.033,0.018,0.0325,341.75
PSPHP1,0.545,0.6,0.155,0.265
ARPC3P1,0.5085,2,0.3,0.675
SMARCE1P2,0.014,0.21,0.0325,0.055
NUP50-DT,25.5,0.053,9.5,0.05
RPL10AP6,13.9,7.8,7.85,11.85
,118.0485,485,4.835,1005
,10.35,26,5,21
TPI1P1,9.45,14,9.15,18.85
RPS7P10,2.07,6.8,5.25,2.75
RPL7P22,0.2235,0.11,0.15,0.96
FTH1P20,8.1,12,1.8,7.95
FTLP3,47,87,14.9,96.5
UBE2V1P1,0.0505,0.26,0.156,0.055
ENTPD1-AS1,45.66,1.4,1.25,8.5
LENG8-AS1,159,133,0.016,0.013
HSBP1L1,21.0345,18,0.016,0.025
CUTALP,307.5,4.2,0.13,502.565
FAM30A,0.0875,0.088,0.083,0.415
TBCAP1,0.2225,0.28,0.2385,0.055
TLK1P1,0.055,0.14,0.017,0.105
LINC02611,19.5,30,0.0325,0.013
CEP164P1,47,2.2,17.13,5.525
RPS4XP2,0.275,0.38,0.285,0.245
DANCR,62.21,2,0.082,54
COX6A1P2,28.5,53,32.5,46
LTA,59,766,9.5,0.17
CENPCP1,0.825,4,0.75,0.52
,0.329,0.34,0.515,0.28
,24,21,28.5,32.5
IL6STP1,0.055,0.018,0.065,0.05
,0.51,0.6,0.185,0.28
,0.34,0.16,0.13,0.305
WDR46,38.516,181,46.5,84
SDHDP2,0.135,0.12,0.1495,0.315
,0.56,0.12,0.675,0.088
,51,83,29.5,23.5
RPS28P7,5.8,11,2.35,4.75
WDR11-AS1,0.0345,0.035,0.016,0.0515
TRGC2,100,15,14.45,27.05
C6orf47-AS1,6.516,5.3,0.6,0.06
SUB1P1,1.285,1.8,0.65,0.95
,1.4,0.035,0.017,0.165
,2.615,6.2,0.55,0.0085
KLLN,0.1945,0.018,0.033,146.4
ELL2P1,0.55,0.47,0.095,1.975
,0.155,0.088,0.101,0.0765
,0.22,0.45,0.0555,0.082
RPL23AP43,0.0995,0.11,0.016,0.0265
THRAP3P1,0.0695,0.19,0.05,0.0265
HAUS6P1,0.007,2.9,0.75,1.5
PARG,18.365,0.053,352.5,8.0395
HNRNPKP2,1.105,0.9,0.325,0.43
TP73-AS1,133.5,0.053,0.0325,0.0395
FTH1P16,1.205,2.3,0.565,1.45
ZMYM4-AS1,0.095,0.025,0.17,0.2
PSME2P6,0.3,0.32,0.245,0.28
LTB,1023.5,728,474.5,352
,10.9,28,1.485,406.9
RPL7P6,0.1145,0.19,0.033,0.18
RPS26P39,0.11,0.071,0.017,0.013
,15.05,8.4,14.8,12
,1.65,0.23,0.0655,2.15
,51.516,0.018,10.595,128.5
ATP5F1AP2,0.014,0.018,0.016,0.0265
RPL23AP74,0.7,1.4,0.54,0.2
RCC2-AS1,14.105,59,107.5,0.0935
MYL12BP2,0.03,0.053,0.067,0.0265
PSMA2P3,0.109,0.088,0.0325,0.08
RBPJP6,0.22,1,0.2145,0.135
RPL3P2,2.6,3.2,1.6,2.95
,0.0495,0.034,0.6,0.0385
POLR2J2,23.537,0.082,0.344,0.4705
,0.0515,0.096,0.0495,0.013
SEC63P1,0.405,3.2,0.79,1.28
RPL7P47,0.106,0.14,0.082,0.013
,6.75,308,0.966,0.25
ST13P19,0.58,0.19,0.14,0.55
,124.5,55,122.5,169.5
HNRNPA1P21,569.5,469,13.5,6
,3.65,1.9,3.9,2.225
OFD1P17,0.3185,0.79,0.395,0.8
ATF4P3,0.495,0.46,0.3795,0.965
NACA4P,0.525,0.68,0.575,0.83
GAPDHP1,3.8,3.5,1.87,6.7
MT-ATP8,754.5,899,418,766.5
FAM174C,210,167,0.13,182.5
,7.5,0.26,0.147,0.7
,1.575,2.3,1.675,0.92
GUSBP11,40.016,38,0.086,225.5
,0.023,0.018,0.32,0.0265
,10.12,0.087,0.155,22.5
,0.605,1.4,0.43,0.63
,0.345,0.82,1.6,1.15
,0.0415,0.088,0.115,0.163
CCT6P1,15,107,31.45,67.0265
SDAD1P1,0.0625,0.018,108,0.0265
,6.008,0.039,0.0325,0.013
OST4,2180,2114,539,1628.5
,0.014,0.07,0.0325,0.013
RPL15P18,0.021,0.07,0.0655,0.0265
EEF1A1P11,3.2,3.4,1.7,7.05
DAP3P2,0.0535,0.018,0.05,0.0395
,0.35,0.37,0.3525,7
,5.7,0.71,7.3,6.45
,3.1,4.2,0.4535,3.465
SPCS2P4,125,130,68.35,188.5
,12.5,0.11,0.017,7
ARL17B,11,0.83,1.7,96.5
DHFR,6.71,58,0.165,132.55
RPL7L1P8,0.285,0.055,0.365,1.03
LINC00954,13.115,0.053,0.07,0.0395
,423.5,327,3,349.5
,0.27,0.053,0.0505,0.17
ATP5MC2P4,0.175,0.12,0.07,0.19
,8.5,34,0.017,0.062
EEF1DP1,0.78,0.58,0.0505,0.405
RPS13P2,3.65,4,1.7,2.95
SATB1-AS1,13,313,32.5,0.013
,0.1,0.34,0.315,0.415
SEPTIN7P8,0.093,0.035,0.033,0.17
HECW2-AS1,120.5,476,468.5,282.5
PSMA6P2,0.182,0.28,0.215,0.052
HSPA8P8,0.0485,0.035,0.017,0.0645
CALM2P2,5.2,5.8,2.6,6.85
MED4-AS1,4.5,1.6,0.6,3.5
RPL41,5987.5,7882,3317.5,5561
,57.5,111,60.5,165.5
VIM-AS1,33.5485,0.035,417.5,200.5
EIF4A1P10,6.35,10,1.466,13
RPS7P4,0.014,0.16,0.132,0.051
EPHA1-AS1,81.9,36,0.295,187
TCP1P1,0.108,0.16,0.0505,0.09
,219.215,261,13.5485,34.55
PTGES3P3,0.48,0.53,0.05,1.465
HMGN1P37,0.275,0.18,0.132,0.13
HNRNPA1P8,0.0655,0.11,0.05,0.27
SREK1IP1P1,0.021,0.21,0.24,0.09
MTCO2P12,9.8,3.4,2.7,3.35
HLA-DRB6,24.55,0.25,0.017,16.9
RALGAPA1P1,0.9825,2.9,6.695,0.191
PATL2,14.5,583,11.5,17.3
,0.207,0.21,0.335,0.155
PRDX3P1,0.023,0.035,0.0345,0.038
RPL21P93,7.2,10,5.95,9.55
MBNL1-AS1,42.016,11,73.5,6
RPL4P4,49,60,37,48.5
NAMPTP1,82.5,464,25.75,60
RPL26P6,0.086,0.86,0.145,0.215
RPS15P5,0.5,0.38,0.345,0.305
XIST,0.007,2241,257,0.013
DDX50P1,0.007,0.018,0.016,0.925
PET100,1423.5,1418,786,600.5
,6,13,0.07,57.5
,1.14,1.4,0.625,0.885
GK3P,0.1745,0.69,0.325,0.44
SEPTIN7P7,3.9,4.6,1.13,1.425
RPL7P46,0.0485,0.074,0.09,0.352
RHEBP1,1.5825,3.9,3.1,3.6
YWHAZP3,5.8,5.9,0.99,2.5
EIF4EP2,76,18,62,19.5
TOB1-AS1,0.028,56,0.065,0.21
MIR181A1HG,0.014,4.4,0.47,0.165
RPL5P4,2,1.5,0.92,1.9
ANKRD36BP2,0.0575,0.19,0.515,0.215
TMSB4XP6,42.5,65,16.5,24
HSPD1P6,0.58,0.14,1.02,0.55
RPL10P6,1.6,3.7,0.715,1.07
TRBV5-4,92.5,110,0.065,226
ACBD6,0.8,155,0.555,33
CEP250-AS1,4.8,0.23,0.0325,0.09
CNOT6LP1,1.085,1,0.55,0.78
,0.415,0.63,0.235,0.27
,91,32,9.355,71
RPL4P5,7.35,6,4.95,11
HSPB1P2,0.0695,0.053,0.017,0.025
PHBP9,0.007,0.053,0.0485,6.025
,0.12,0.42,0.265,0.23
TOMM20P4,1.08,1.3,0.99,0.39
HMGN2P3,0.115,0.076,0.0055,0.11
RPL4P3,0.071,0.16,0.0335,0.024
,1.85,2.4,1.8,0.88
TCEA1P2,24,15,5.5,9.8
SERPINB9P1,0.76,0.018,0.016,0.235
PA2G4P4,4.22,22,1.9,2.95
RPL19P21,0.091,0.11,0.135,0.138
,305.5,690,393.6,7.1
FAM133DP,10.05,58,30,21.5
ACTG1P14,0.1935,0.018,0.017,0.95
GTF2IRD1P1,0.43,0.11,0.016,0.0645
CCT5P2,0.047,0.053,0.0325,0.05
FTX,373.5,185,48.85,179
RPSAP8,0.181,0.088,0.083,0.026
PPIAP40,0.037,0.018,0.0325,0.0265
,381.5,823,382,151.5
RPS23P8,15.35,28,26.5,16
PABPC1P3,0.405,0.77,0.44,0.35
RPL10P3,1.255,0.97,1.115,1.15
RPS29P5,0.053,0.14,0.0425,0.0895
SMARCE1P5,0.097,0.018,0.177,0.0265
CBX1P1,0.095,0.4,0.24,0.34
,13.615,0.16,0.215,0.14
RPS18P12,1.705,5.1,2.95,2.1
,95,13,0.016,25
,3.35,4.7,3.35,6
HSBP1,509,1094,223.5,804.5
RPL7P32,0.45,0.7,0.46,0.615
,10.35,12,3.075,15.15
HCG18,157,338,385.615,363.5
BTF3P10,0.2645,0.6,0.083,0.27
YBX1P2,0.46,1.2,0.245,0.24
,0.0535,0.07,0.0655,0.0395
SKP1P1,0.94,2.5,0.335,1.8
C1DP1,3.716,1.6,0.55,0.8265
,3.83,5.2,34.6,313.5
SGO1-AS1,0.48,0.035,0.275,39.0042
CLIC1P1,3.4,3,0.42,2.2
RPL34P6,0.355,0.19,0.0485,0.08
VDAC1P6,0.94,0.37,0.09,0.335
HLA-DPA1,1145,1481,709.5,1094
,0.366,0.24,0.152,0.46
,0.1225,0.14,0.0825,0.155
RPS18,6126,12441,4844,6425.5
HINT1P1,0.0765,0.053,0.0505,0.013
RSL24D1P11,0.1025,0.035,0.05,0.038
ATP5MDP1,0.0395,0.018,0.016,0.013
RPL7P21,0.585,0.38,0.566,4.085
DLEU2,67.695,252,2.015,0.75
ANKRD44-AS1,0.014,0.053,0.017,38.5
EIF1P3,0.355,0.75,0.275,0.185
PABPC1P1,0.021,0.035,0.016,0.09
LINC-PINT,488,529,923,707
,0.566,0.054,0.0175,0.24
,0.18,0.2,0.1415,0.19
EMBP1,45,0.057,5.34,0.881
,15.9,15,4.65,11
TMEM44-AS1,0.0465,40,0.0485,27
PA2G4P6,0.03,0.035,0.101,0.08
,1.25,11,1.45,1.65
,0.22,0.21,0.256,0.2645
,0.645,4.1,1.7825,6.013
SNRPFP1,0.435,1.3,0.595,0.455
TAPBP,1334.5,1070,600,2324
RPS7P3,0.205,69,0.066,0.038
PPP1R2B,3.545,2.7,0.0995,1.975
ANXA2P2,13,30,18.8,54.5
CAP1P2,0.1095,0.25,0.15,0.15
LSM12P1,17.5,57,0.016,9.05
TMA7,4502,5822,3907,3432.5
MCTS1,72.15,609,387.5,0.54
RPS15AP12,0.043,0.035,0.0525,0.025
ST13P4,2.25,4,0.44,0.8
LINC01873,0.0395,0.018,0.016,0.013
,0.17,0.17,0.033,0.14
FTH1P7,41.5,61,8.6,53.5
,0.0465,4.4,0.027,0.465
LINC02043,0.055,0.18,0.1725,0.445
,2.75,7.7,5.55,5.05
ATP5MGP2,0.875,1.6,0.29,0.675
RPS3AP25,0.273,0.6,0.2245,0.0635
SMIM26,156.75,362,127.92,990.5
,0.2085,0.091,0.13,0.033
,1.016,0.14,0.0655,0.675
EEF1B2P3,15,18,7.25,14
,0.0965,0.089,0.245,0.235
RPL3P4,88.5,115,117.5,141
KANTR,239.5,32,0.0505,0.013
,1.15,0.22,0.8,0.325
HLA-DQB2,38.55,7.1,10.5345,7
IDI2-AS1,13.95,9.3,0.0325,0.115
,0.195,1,0.39,1.75
SDCBPP3,0.235,0.39,0.0325,0.13
,1,0.21,0.775,0.85
TNF,406.5,179,4.6,2.2
PET117,13.595,50,458.5,51.575
RPL34P27,0.33,0.44,0.36,0.46
RPS11P5,2.35,1.6,1.7,2.8
HSPE1P6,0.07,0.018,0.0325,0.038
LINC00342,0.42,0.018,104.5485,56
HCG25,12,121,10.5,6.5195
,0.65,2.4,0.7,0.14
SNHG15,579.5,407,0.605,183.5
NPIPA9,53,36,0.31,4.83
,0.046,0.097,0.147,0.065
EEF1A1P14,0.096,0.67,0.0335,0.025
RAB6D,0.0155,0.07,0.017,0.043
LINC00892,111.5,758,159.5,0.0515
CNOT7P1,0.465,0.26,0.05,0.59
,0.3885,0.19,1.4825,2.85
RPL21P134,0.2325,0.27,0.075,0.15
,3.666,12,3.5,0.013
SNRPEP4,13.3,11,8.4,5.55
GPX1,623.5,666,7.33,464
TRGV2,0.39,3.1,7.5325,2.3
USP32P2,0.0605,0.018,0.017,0.0515
PFN1P1,12.75,16,31,11.2
CHRM3-AS2,122.34,190,0.13,146
GTF2IP4,131.5,247,175,231
,0.0715,0.035,0.2075,0.0685
EIF3FP3,7.516,63,7.87,15.6
HOTAIRM1,39,1,0.0505,2.475
,1.164,45,0.095,0.0265
EEF1A1P6,203.5,262,149,468
,0.685,0.9,0.41,1.6
,12.65,195,1.3,0.92
BTF3P5,0.028,0.036,0.0325,0.105
,0.09,0.088,0.066,0.025
LINC01137,0.06,0.035,0.75,227
RPL36AP13,0.105,0.035,0.165,0.038
,53.5,78,63,99.5
H2BC15,4.875,193,0.016,57
EIF3LP2,0.067,0.16,0.28,0.268
SELENOTP1,6.85,9.2,4.7,6.0255
ADH5P4,0.155,0.47,0.0485,0.17
,1.115,3.3,1.115,1.65
RPL10P9,20.5,26,125.5,12
RPS28,1609.5,2526,1406.5,1046
UQCRHL,43.5,32,64,17
RPS20P10,0.0325,0.075,0.033,0.051
GDI2P2,0.225,0.36,0.55,0.08
IGKV3OR2-268,11.5,5.4,0.067,16
,0.0275,0.017,0.095,0.0665
RPL5P34,13.9,11,5.25,12
RPS3AP44,0.032,0.016,0.016,0.049
TXNP6,0.46,0.7,0.87,0.46
RPL10P12,0.95,6.2,0.067,0.0645
,0.1,0.018,0.016,6.0395
,0.315,0.2,0.4,0.45
RPS15AP11,0.565,1,0.59,0.485
SRP14P2,1.45,2.2,0.73,1.35
RPL13AP6,0.075,0.1,0.0505,0.115
TRIM26,341,77,684.05,299.735
NAP1L4P3,0.295,0.23,0.1175,0.18
HSPA8P1,0.1635,0.3,0.25,0.285
LINC01781,4.25,0.35,0.26,0.155
LIX1L-AS1,21.05,0.36,0.0505,0.055
,0.4875,0.83,0.31,0.875
,0.021,0.053,0.016,0.0515
,1.455,0.89,0.495,0.33
,254.5,326,129,115.5
ST13P18,0.91,0.3,0.125,0.7
,0.66,0.035,0.033,2.4
BCAS2P2,1.11,0.75,0.0345,0.885
RPS4XP11,0.63,1.3,2.1,0.76
,5.85,6.1,3.1,8.55
RPS26P47,0.0935,69,0.1535,0.2125
ZNF37BP,281.5,3.7,78.675,114.5
,0.85,34,35,0.95
,0.037,0.053,0.0485,0.038
RPL13AP20,0.5,0.65,0.755,0.26
,0.131,1.2,0.087,0.1935
PTGES3P1,8.45,95,0.395,22.5
FAM133B,302,638,619.5,893.5
BIN2P1,0.145,1.8,0.325,0.09
CCT6P3,67.08,33,65.5,14.15
,0.023,0.053,0.05,0.1135
MAPKAPK5-AS1,123.5,613,9,0.24
RPSAP9,0.4225,0.29,0.0485,0.08
YWHAEP5,0.0645,0.11,0.1535,0.1395
,5.125,7.9,1.29,4.55
LINC01934,436.5,126,54.95,108.7
HMGN2P5,48.5,43,20,41
LERFS,25.516,0.0088,0.095,0.065
VDAC1P3,0.0285,0.018,0.017,0.11
NPIPB2,0.375,4.5,0.00275,0.248
GAS5,1220.5,322,693.5,837
,0.076,0.16,0.132,0.0755
HLA-B,16717.5,18384,11323,19845
SLC25A25-AS1,31.095,117,101,0.013
TPT1P9,8.6,14,7.6,8.1
RPS3AP6,525,960,421,546
MORF4,0.43,0.35,0.017,0.43
XRCC6P2,3,0.84,2.3,1.525
RPL23AP42,279,376,109.5,170.5
HNRNPUL2-BSCL2,17.95,140,71.5,0.0565
EIF3EP1,0.021,0.46,0.0325,0.0895
MIR155HG,178.5,896,1.545,263.5
APOC2,26.57,76,0.121,0.013
ATP5PDP4,13.516,71,0.2,0.115
,2.95,0.11,0.017,0.0265
,0.85,2.5,1.24,1.5
FABP5P7,23.16,21,1.816,25.5
FTH1P2,47.5,63,11,48.5
EIF4A1P2,2.6,3.4,0.485,3.95
COX20P2,0.037,0.13,0.066,0.0645
SEMA3F-AS1,248,25,0.125,52.5
,0.87,2.4,0.60405,0.526
TECRP1,1.855,8.1,0.017,7
SLC25A5P2,0.093,0.11,0.0495,0.055
RPL24P2,1.76,0.43,0.235,0.205
,2.03,3.9,11.5315,4.85
SUMO1P3,0.935,1.8,1.85,4.25
CHCHD2P6,0.64,1.1,0.525,0.49
,0.042,0.018,0.0325,0.055
BRD3OS,1.01,1.5,0.016,3.01
C12orf75,489.5,1218,95.615,648.5
RPL39P3,37.71,104,13,35.5
PPP1R3E,0.455,0.21,15.5,278
,0.1235,0.4,0.14,0.115
SUMO2P1,6.1,8.1,0.85,3.625
RAMACL,8.7,12,0.75,12.3
,209,233,2.09,7.435
FAUP1,2.5,2.1,1.36,1.475
RPS29P16,0.1585,0.35,0.091,0.115
SNRPGP10,37.5,28,20.5,7.5
RPEL1,0.044,0.018,0.38,0.013
MRPS10P1,0.3075,0.11,0.09,0.105
LINC01278,368.605,173,169.5,67.645
SMIM27,447,235,199.5,57
RPS26P31,0.045,0.097,0.0945,0.013
DBF4P1,2.15,19,2.3,2.65
CASP17P,160.5,647,386.5,89.5
RPS2P7,2.485,0.7,0.86,0.37
RPL6P27,100,96,139.5,67.5
SUMO1P4,0.014,0.053,0.0345,0.07
LINC01871,1034.5,625,374,182
GAPDHP65,0.905,0.99,0.71,1.2
,1.45,1.9,1.7,1.25
NSRP1P1,0.1385,0.28,0.0825,0.17
,0.0465,0.088,0.0495,0.05
,20,0.088,0.082,0.05
H3P6,710,962,207.5,546
NPM1P26,0.0345,20,0.0655,0.038
,0.175,0.18,0.18,0.1395
PA2G4P2,0.101,0.37,0.171,0.435
HMGN1P36,0.125,0.071,0.016,0.165
KIAA0040,292.63,93,0.136,281
,0.416,0.34,0.365,0.295
OLMALINC,0.333,0.07,0.016,1.4
LDHAP7,0.175,0.25,0.05,0.065
,195,34,11.175,225.8
,4.35,4.6,4.3,1.85
,0.014,0.018,0.452,0.655
ZNF815P,19.016,444,0.08,53
TTC28-AS1,25.695,225,12.5,186
COX7CP1,2.95,4.4,2.545,6.1
,2.7,0.018,31.5,61.5
,7.016,0.07,0.0495,0.013
,0.0665,0.18,0.077,0.09
MYCBP2-AS1,295,54,2.6955,274
RPL17P36,2.5,4.9,3.3,2.2
COX10-AS1,31.5485,0.053,236.5,0.013
LDHAP3,0.17,0.077,0.0495,0.038
ZBTB22,0.014,0.19,61.5,0.013
PRELID3BP10,0.0345,0.088,0.0485,0.0265
MRPS36P1,0.16,0.58,0.295,0.465
PPP1R11P1,0.007,0.018,0.016,0.013
NDUFB9P2,0.094,0.17,0.066,0.1255
ZBED5,90.305,333,0.066,569.5
RPL34P34,0.51,0.63,0.205,0.48
RPL5P9,0.0485,0.25,0.0825,0.055
,65.5,94,32.5,93.5
UBE2L5,0.124,0.12,0.0525,0.0645
,9.65,1.5,2.425,2.075
PKMP1,0.007,0.035,0.043,0.0395
LINC02195,49,147,2.55,25.5
EIF2S2P3,0.11,0.73,0.101,0.825
,5.2,1.4,8.6,1.27
,0.044,0.035,0.017,0.025
HNRNPA1P54,0.22,0.65,0.095,0.33
RPL13AP5,194.5,152,92,233.5
,0.645,0.5,0.2,0.315
HNRNPA3P5,0.184,0.098,0.207,0.305
RANP1,5.95,8.5,3.05,7.45
,0.0575,0.07,0.097,0.013
EIF1AXP1,3.865,31,1.7,36.5
RPL31P63,0.435,1,0.295,0.775
RPL19P16,0.1515,0.35,0.25,0.22
,0.18,0.16,0.215,0.129
INTS6-AS1,0.0605,44,130.5,0.0265
,0.028,0.14,0.016,0.0265
RPL24P8,4.4,7.2,5,6.75
ELOA-AS1,4.1325,1.3,0.016,0.0265
,5.85,1.6,0.0485,3.5
BCYRN1,0.1025,3.3,0.7,0.0395
,0.33,0.75,0.64,0.195
NIFK-AS1,9.016,0.053,547.5,0.065
TMSB4XP1,0.725,1.4,0.48,0.61
,0.09,0.67,0.0995,0.0265
FABP5P1,0.265,0.31,0.033,0.19
RPL12P12,0.31,0.49,0.125,0.335
,0.56,0.12,0.675,0.088
RPL34P1,0.25,0.21,0.0485,0.105
PRMT5-AS1,1.535,0.084,0.145,4.6
,0.39,0.31,0.082,0.245
,30.5485,273,0.0485,24.525
CDKN2AIPNL,162.5,10,31,90.025
,1.53,2,0.07,4.25
LINC00987,2.7985,0.035,0.033,0.1265
,0.007,0.11,0.16,0.16
TRBV30,152.5325,106,0.0505,0.0265
FTH1P11,8.75,12,2.95,14.5
SMG1P1,54.19,772,58.86,275.5
TTN-AS1,38.516,29,186.27,48.175
SRRM1P3,0.925,2.6,0.55,1.65
,2.85,54,0.017,0.0395
CDC42P6,19.5,35,16,15.5
XRCC6P1,0.093,0.035,0.0345,0.065
WAKMAR2,51.66,0.19,0.065,21.5
RPSAP15,4.015,4.4,0.24,1.695
HLA-DQA2,100.25,199,0.7,1.75
,1418.5,2787,1403,1521.5
C2orf74,213.5,186,0.016,84
RPS15AP38,0.805,1.5,1.315,0.91
RPL30P4,0.385,0.86,0.395,0.0395
TRBV3-1,637,27,11,93.05
,1.615,0.82,0.575,10.2
UQCRBP1,0.03,0.035,0.086,0.013
,0.2285,0.37,0.135,0.345
FAM200B,9.1,25,234.017,519
AMD1P2,0.007,0.07,0.05,0.0125
HNRNPA1P39,0.0315,0.04,0.017,0.012
,0.71,0.94,0.291,0.65
PA2G4P1,0.091,0.07,2.715,2.35
,1.21,1.6,0.0325,0.75
PRKCQ-AS1,47.08,151,11.0485,28.55
LINC00649,781.5,0.56,81.5,464.5
MTCO1P12,132.5,80,14.5,124
RPL35P1,0.815,0.95,0.81,1.85
,124.5,346,81.5,188
,10.5,3.3,0.0865,1.475
,18,4.5,4.605,12.65
,0.1065,0.035,0.0325,0.22
LRRC37A2,3.7,167,133.5325,2.395
,1.13,1.2,2.7,3.645
RPL9P7,2.515,11,0.81,0.385
GOLGA2P5,0.13,0.035,0.0495,0.0395
LINC00426,58.5,3.4,0.516,43.025
,0.6,0.018,0.017,104.055
,0.575,0.88,0.285,0.445
PAXBP1-AS1,0.16,24,0.0325,10.55
TMEM250,2.85,0.018,75.516,9.5
,0.26,0.42,0.275,0.175
SNORD10,0.34,0.19,0.016,0.062
SNORD13,3.95,2.6,3.4,1.41
RPL5P22,0.0535,0.035,0.0315,0.034
NCK1-DT,63.0485,6.7,5,106.5
RPL34P31,0.86,1,0.24,0.49
,3.05,1.4,1.04,1.7
TXNDC5,32.08,0.54,6.75,88.87
RNF103,61.58,35,0.1495,1060.5
RBM14,20.5,132,29,142.15
ALKBH6,2.64,215,6.5,111.525
,0.1225,0.17,0.0825,0.17
RPS14P8,1.335,3.7,0.0655,1.8
,0.0345,0.053,0.082,0.025
,25.25,1.1,2.375,6.5
RPL37P2,0.26,0.66,0.99,0.415
KMT2E-AS1,93,38,45,69.12
,14.0485,100,0.2535,1.1
NME1,613.5,514,603.5,228.5
TNFSF12,19.5,0.088,137.5,25.0395
CDRT4,0.014,0.018,0.016,22
APOBEC3G,241.5,1343,63.55,855
WBP1,63.145,219,48.0325,31.5
MRPS17,67.5,27,593,3.65
RPL21P39,0.1985,0.08,0.571,0.0715
RNF7P1,0.055,0.12,0.115,0.065
,0.007,0.018,0.016,0.05
GET4,27.115,65,0.206,12.17
ADSL,405,193,49.24,456
RPS10P16,0.161,0.035,0.0655,0.0515
IGKV3-20,75.565,74,3.55,249
IGKV1D-33,1.95,2,3.19,0.0315
,0.87,0.97,0.51,1.13
AMY2B,0.08,418,25.016,0.088
DDX50P2,0.021,0.035,0.016,0.09
PSMB9,4510,3267,1197.5,1893
RPSAP12,6.49,6.3,0.58,2.645
PSMD12P,0.2,0.18,0.016,0.13
COX19,503.5,1238,366.62,22.925
RPS27P29,0.0755,0.074,0.0655,0.013
,32.08,96,0.155,646.0395
ACAD11,50.0485,8.3,76.5,0.0765
RPS2P5,178,381,331,264.5
PPIL3,29.195,364,0.115,189
SOCAR,199.635,250,240.5,211.5
RPL23AP7,25.5,0.12,0.1005,0.015
RPS4XP13,0.2075,0.46,0.62,0.27
,1.61,2.4,2.7,2.8
RPL5P23,1.7,1.3,1.44,0.445
LRRFIP1P1,0.0345,0.39,0.082,0.115
RPS19P3,0.275,0.36,0.29,0.455
SETP14,2.52,7,0.14,1.49
RPL34P18,9.8,13,4.25,11.05
,6.71,250,0.0495,7.75
,0.48,0.45,0.165,1.33
ISY1,1234,519,890.5,1271
,0.305,0.28,0.2535,0.145
,0.014,0.018,0.016,0.13
RPS27P21,0.575,1.2,0.1285,0.45
RPL36AP21,0.074,0.018,0.0995,0.0395
,0.285,0.33,0.1945,0.43
RPL9P25,0.1085,0.1,0.082,0.013
TMEM189,32.29,116,0.72,4.55
,0.085,0.18,0.2075,0.605
NDUFB2-AS1,60,2.2,0.0505,3.125
PLCXD2,317,186,12.5325,306.5
,0.007,0.053,0.0495,0.013
,0.66,0.4,0.082,0.22
MIF,3042.5,5642,3012.5,2686
SEPTIN7P6,0.63,1.3,0.32,1
TPM3P9,44.29,95,1.9845,304.5
NSUN6,101,12,25.5,165.5
RPL5P1,4.75,4.7,3.65,5.75
RPL22P2,0.935,0.3,0.55,0.415
HLA-DOB,9.74,0.32,0.033,0.495
CRCP,107.595,137,26.58,1127
RPL34P33,0.465,0.55,0.26,0.4
RPL36A,2108.5,2012,1932,1780
IGKV3-11,17.35,0.39,0.92,521.5
,0.45,0.35,0.12,0.28
,0.136,0.17,3.95,0.05
RPP21,604,577,451.5,328.5
CD302,87.9,0.12,0.2,0.038
,0.016,0.018,0.0655,0.013
RPL37P6,0.25,0.54,1.28,0.2045
RPL7P19,0.058,0.19,0.0325,0.091
ATP5MF,1868.5,1305,593,1045
HSPA8P9,0.0415,0.12,0.135,0.105
,145.565,298,0.85,125.25
,0.435,0.91,0.71,0.605
PSMC1P1,50,62,73.45,59
RPS15AP24,0.23,0.37,0.1185,0.32
ARPC4,4105,1450,3121,4464.5
,0.145,0.3,15,0.165
,0.128,0.089,0.7845,0.0265
TRBV11-2,146.0415,0.053,0.0485,176
,10.516,44,0.095,0.025
RPL31P49,0.295,0.5,0.27,0.22
ARPC1A,651,311,186.115,5.0265
RPL7AP30,2,2.6,2.8,2.25
IGKV1-9,0.055,0.07,0.2705,0.665
ATP5PO,2229.5,2241,1137,1457.5
,0.425,0.48,0.0325,0.145
PLEKHO2,36.2,75,0.4285,4.65
PISD,19.84,0.26,0.162,200.4
,0.246,60,11.5325,25.5
PI4KA,96,298,359,20.525
PRR34-AS1,17.45,69,230.08,94.58
HYPK,15.5,286,27.5,7.9
